Year,REF_AREA,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2015,Amman,N,2015,SL_TLF_MANF,PT,12.3
2016,Amman,N,2016,SL_TLF_MANF,PT,12.1
2017,Amman,N,2017,SL_TLF_MANF,PT,12.8
2018,Amman,N,2018,SL_TLF_MANF,PT,10.4
2015,Balqa,N,2015,SL_TLF_MANF,PT,7.0
2016,Balqa,N,2016,SL_TLF_MANF,PT,7.4
2017,Balqa,N,2017,SL_TLF_MANF,PT,7.0
2018,Balqa,N,2018,SL_TLF_MANF,PT,6.9
2015,Zarqa,N,2015,SL_TLF_MANF,PT,19.4
2016,Zarqa,N,2016,SL_TLF_MANF,PT,17.6
2017,Zarqa,N,2017,SL_TLF_MANF,PT,17.3
2018,Zarqa,N,2018,SL_TLF_MANF,PT,16.2
2015,Madaba,N,2015,SL_TLF_MANF,PT,6.4
2016,Madaba,N,2016,SL_TLF_MANF,PT,7.7
2017,Madaba,N,2017,SL_TLF_MANF,PT,8.5
2018,Madaba,N,2018,SL_TLF_MANF,PT,6.8
2015,Irbid,N,2015,SL_TLF_MANF,PT,7.2
2016,Irbid,N,2016,SL_TLF_MANF,PT,6.6
2017,Irbid,N,2017,SL_TLF_MANF,PT,6.8
2018,Irbid,N,2018,SL_TLF_MANF,PT,8.0
2015,Mafraq,N,2015,SL_TLF_MANF,PT,3.9
2016,Mafraq,N,2016,SL_TLF_MANF,PT,4.5
2017,Mafraq,N,2017,SL_TLF_MANF,PT,7.1
2018,Mafraq,N,2018,SL_TLF_MANF,PT,6.1
2015,Jarash,N,2015,SL_TLF_MANF,PT,5.0
2016,Jarash,N,2016,SL_TLF_MANF,PT,3.8
2017,Jarash,N,2017,SL_TLF_MANF,PT,6.2
2018,Jarash,N,2018,SL_TLF_MANF,PT,5.3
2015,Ajloun,N,2015,SL_TLF_MANF,PT,2.9
2016,Ajloun,N,2016,SL_TLF_MANF,PT,4.0
2017,Ajloun,N,2017,SL_TLF_MANF,PT,4.9
2018,Ajloun,N,2018,SL_TLF_MANF,PT,4.9
2015,Karak,N,2015,SL_TLF_MANF,PT,3.8
2016,Karak,N,2016,SL_TLF_MANF,PT,3.5
2017,Karak,N,2017,SL_TLF_MANF,PT,6.0
2018,Karak,N,2018,SL_TLF_MANF,PT,5.1
2015,Tafiela,N,2015,SL_TLF_MANF,PT,4.4
2016,Tafiela,N,2016,SL_TLF_MANF,PT,5.2
2017,Tafiela,N,2017,SL_TLF_MANF,PT,7.5
2018,Tafiela,N,2018,SL_TLF_MANF,PT,7.1
2015,Ma'an,N,2015,SL_TLF_MANF,PT,5.2
2016,Ma'an,N,2016,SL_TLF_MANF,PT,2.5
2017,Ma'an,N,2017,SL_TLF_MANF,PT,2.8
2018,Ma'an,N,2018,SL_TLF_MANF,PT,2.8
2015,Aqaba,N,2015,SL_TLF_MANF,PT,4.7
2016,Aqaba,N,2016,SL_TLF_MANF,PT,4.5
2017,Aqaba,N,2017,SL_TLF_MANF,PT,9.2
2018,Aqaba,N,2018,SL_TLF_MANF,PT,7.6
2015,JO,N,2015,SL_TLF_MANF,PT,10.0
2016,JO,N,2016,SL_TLF_MANF,PT,9.7
2017,JO,N,2017,SL_TLF_MANF,PT,10.9
2018,JO,N,2018,SL_TLF_MANF,PT,9.6
